Name,Type,Latitude,Longitude,Oppstartsdato,Fotgjengere,Syklister,ID
Akerselva ved Vøyenbrua,Trafikkmålepunkt,59.93213,10.7583,09.09.2014,X,,
Bærumsveien 22,Trafikkmålepunkt,59.92647,10.63488,15.05.2015,,X,9
Chr Michelsens gt nordside,Trafikkmålepunkt,59.92886,10.77053,09.10.2014,,X,10
Chr Michelsens gt sydside,Trafikkmålepunkt,59.92863,10.7702,09.10.2014,,X,18
Ekebergveien 160,Trafikkmålepunkt,59.87886,10.78758,20.10.2014,,X,11
Grenseveien gang og sykkelbro,Trafikkmålepunkt,59.9204,10.79475,15.08.2013,X,X,15
Hoffsveien,Trafikkmålepunkt,59.93059,10.6759,29.05.2016,,X,22
Holmenkollvn 42,Trafikkmålepunkt,59.94954,10.67611,10.09.2015,,X,23
Jon Smedstads vei 4,Trafikkmålepunkt,59.93746,10.68013,13.05.2015,,X,12
Kierschowsgate 10,Trafikkmålepunkt,59.93691,10.74792,11.09.2015,,X,4
Kongsveien,Trafikkmålepunkt,59.8865,10.77238,09.06.2016,,X,29
Maridalsvn nord for Fredensborgvn,Trafikkmålepunkt,59.92314,10.75075,08.10.2014,,X,1
Maridalsvn ved Carl Kjelsens vei,Trafikkmålepunkt,59.95762,10.76381,08.10.2014,,X,21
Monolittveien ved Frognerparken,Trafikkmålepunkt,59.92944,10.6951,05.11.2014,,X,8
Nordstrandvn 59,Trafikkmålepunkt,59.86035,10.80796,05.10.2015,,X,26
Trasop skole,Trafikkmålepunkt,59.90593,10.85111,09.09.2015,,X,13
Tvetenveien,Trafikkmålepunkt,59.9132,10.82386,05.10.2015,,X,
Ullern gårdsvei 40,Trafikkmålepunkt,59.92508,10.64684,13.052015,,X,20
Ullevålsveien 19,Trafikkmålepunkt,59.92075,10.74236,28.10.2014,,X,5
Vaterlands bro,Trafikkmålepunkt,59.91341,10.75789,29.09.2015,,X,2
Vækerøveien,Trafikkmålepunkt,59.93625,10.63983,10.07.2015,,X,14
Østensjøveien ved Brynseng,Trafikkmålepunkt,59.93625,10.63983,16.10.2014,,X,19
Østensjøveien ved Østensjøvannet,Trafikkmålepunkt,59.8941,10.8328,16.10.2014,,X,17
